0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
perlayer,25,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_5.pkl,25,original,wikitext,wikitext,wikitext,wikitext,17.95692328890249,1.716119949793494,0.7791503948679419
perlayer,35,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_5.pkl,35,original,wikitext,wikitext,wikitext,wikitext,19.52492470040132,1.7431977756190964,0.8017362606386544
perlayer,40,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_5.pkl,40,original,wikitext,wikitext,wikitext,wikitext,21.440788855889306,1.773979825939972,0.8269896031103126
perlayer,15,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_5.pkl,15,original,wikitext,wikitext,wikitext,wikitext,16.96666687963079,1.6980117771114829,0.7638464652050913
perlayer,30,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_5.pkl,30,original,wikitext,wikitext,wikitext,wikitext,18.52149944872736,1.7260833984937205,0.7875021723306385
perlayer,20,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_5.pkl,20,original,wikitext,wikitext,wikitext,wikitext,17.1554013413206,1.7015281384323695,0.7668310095698456
perlayer,10,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_5.pkl,10,original,wikitext,wikitext,wikitext,wikitext,16.610238258829828,1.6912834010226745,0.7581184261538859
perlayer,25,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_0.pkl,25,original,wikitext,wikitext,wikitext,wikitext,19.1617493587113,1.7370878577039428,0.7966707239206872
perlayer,15,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_0.pkl,15,original,wikitext,wikitext,wikitext,wikitext,17.1537931089385,1.7014983081873016,0.7668057168209917
perlayer,30,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_0.pkl,30,original,wikitext,wikitext,wikitext,wikitext,21.34502023281933,1.7724953459987882,0.8257818394178051
perlayer,35,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_0.pkl,35,original,wikitext,wikitext,wikitext,wikitext,23.58618149403904,1.8059005883841333,0.8527184772082117
perlayer,40,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_0.pkl,40,original,wikitext,wikitext,wikitext,wikitext,31.824825103190072,1.9099621405951557,0.9335440413411532
perlayer,20,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_0.pkl,20,original,wikitext,wikitext,wikitext,wikitext,17.807839472034264,1.7134465123821814,0.7769011568262205
perlayer,10,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_0.pkl,10,original,wikitext,wikitext,wikitext,wikitext,16.720215513047613,1.6933718834559404,0.7598988400386754
perlayer,10,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_3.pkl,10,original,wikitext,wikitext,wikitext,wikitext,16.621951491570965,1.69150637082846,0.7583086108565936
perlayer,40,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_3.pkl,40,original,wikitext,wikitext,wikitext,wikitext,22.88754435865144,1.7957746910550263,0.8446063520343791
perlayer,35,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_3.pkl,35,original,wikitext,wikitext,wikitext,wikitext,19.70823824140121,1.746246750093816,0.8042574306652908
perlayer,20,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_3.pkl,20,original,wikitext,wikitext,wikitext,wikitext,17.156911973134186,1.7015561562658823,0.766854765190316
perlayer,30,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_3.pkl,30,original,wikitext,wikitext,wikitext,wikitext,18.706899461317835,1.7293014167328924,0.79018935222268
perlayer,25,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_3.pkl,25,original,wikitext,wikitext,wikitext,wikitext,17.631048487568396,1.7102525315728296,0.7742093655490287
perlayer,15,fc,False,fisher,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/fisher_all_3.pkl,15,original,wikitext,wikitext,wikitext,wikitext,16.964680925305068,1.6979746075616151,0.76381488420376
