,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,global,20,fc,False,plainact,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/plainact_all_5.pkl,20,predictor,all,wikitext,wikitext,wikitext,19.52850502289996,1.7432575479632837,0.8017857282248106
1,perlayer,45,fc,False,plainact,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/plainact_all_5.pkl,45,predictor,all,wikitext,wikitext,wikitext,28.738271692678484,1.873869883323656,0.90602077946407
2,perlayer,55,fc,False,plainact,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/plainact_all_5.pkl,55,predictor,all,wikitext,wikitext,wikitext,44.03081720434189,2.0295078159712427,1.0211298961042137
3,perlayer,20,fc,False,plainact,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/plainact_all_5.pkl,20,predictor,all,wikitext,wikitext,wikitext,17.65233898698774,1.710638550045629,0.774534957288418
4,perlayer,25,fc,False,plainact,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/plainact_all_5.pkl,25,predictor,all,wikitext,wikitext,wikitext,18.85434762953804,1.7318422394993307,0.7923075151349822
5,perlayer,50,fc,False,plainact,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/plainact_all_5.pkl,50,predictor,all,wikitext,wikitext,wikitext,37.52752204996739,1.9697508608874237,0.978013165472428
6,perlayer,40,fc,False,plainact,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/plainact_all_5.pkl,40,predictor,all,wikitext,wikitext,wikitext,23.855740553155968,1.809742389887001,0.8557843496383414
7,perlayer,60,fc,False,plainact,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/plainact_all_5.pkl,60,predictor,all,wikitext,wikitext,wikitext,62.81716180813719,2.1689504576692524,1.116997099902223
8,perlayer,35,fc,False,plainact,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/plainact_all_5.pkl,35,predictor,all,wikitext,wikitext,wikitext,22.027457937063986,1.7829577511870351,0.8342725173907819
9,perlayer,30,fc,False,plainact,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/plainact_all_5.pkl,30,predictor,all,wikitext,wikitext,wikitext,19.612659166621192,1.744659915427347,0.802945840937433
10,global,40,fc,False,plainact,facebook/opt-1.3b,opt1.3b_checkpoints,opt1.3b_tokenizer,1,zcps/opt-1.3b/plainact_all_5.pkl,40,predictor,all,wikitext,wikitext,wikitext,32.946369677429644,1.9223727523938343,0.9428881050447956
